Average,,7.113mV,0.883uA(F),0.921uA,1.002uA(F),2.652V,2.780V,2.652V,116.7V,116.8V,-0.07,-4.69Over(F),-0.00mA,5.654mR,Over,0.784V,Over,0.863V,Over,5.718nA,8.206nA(F),9.955nA,0.188nA,2.644V,-3.91nA,4.911nA,
STDEV,,7.7641,7.5549,0.2643,4.3391,0.0808,0.0843,0.0808,3.4019,3.4080,0.1363,4.6481,0.0002,0.3120,0.0000,0.0422,0.0000,0.0464,0.0000,2.4127,9.0020,0.6647,0.1676,0.1794,0.3247,0.3891,
Min Data,,003.5mV,-402.1uA,-000.2uA,------,------,------,------,113.7V,112.3V,-000.5,-290.2nA,-0.001mA,------,------,------,------,0.859V,------,004.0nA,005.8nA,9.999nA,-000.2nA,2.592V,-005.9nA,004.8nA,
Max Data,,175.3mV,237.4uA,002.1uA,269.4uA,2.735V,2.864V,2.735V,120.1V,120.2V,003.0,,0.000mA,5.932mR,------,0.797V,------,0.878V,------,021.2nA,426.2nA,9.999nA,000.9nA,2.734V,-003.7nA,005.9nA,

Serial#,Bin# 
540,1,4.000E-003,6.000E-007,6.000E-007,9.000E-007,2.663E+000,2.791E+000,2.664E+000,1.157E+002,1.158E+002,1.000E-001,4.500E-009,0.000E+000,5.512E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,5.000E-009,6.800E-009,9.999E-009,3.000E-010,2.664E+000,3.800E-009,4.800E-009,
541,1,4.500E-003,5.000E-007,7.000E-007,1.000E-006,2.700E+000,2.828E+000,2.700E+000,1.173E+002,1.174E+002,1.000E-001,4.700E-009,0.000E+000,5.761E-003,0.000E+000,7.920E-001,0.000E+000,8.710E-001,0.000E+000,4.800E-009,9.500E-009,9.999E-009,0.000E+000,2.701E+000,4.200E-009,5.000E-009,
542,1,5.100E-003,8.000E-007,1.000E-006,9.000E-007,2.630E+000,2.757E+000,2.631E+000,1.164E+002,1.166E+002,2.000E-001,4.700E-009,0.000E+000,5.513E-003,0.000E+000,7.890E-001,0.000E+000,8.640E-001,0.000E+000,1.010E-008,9.300E-009,9.999E-009,1.000E-010,2.631E+000,4.000E-009,4.500E-009,
543,1,6.900E-003,9.000E-007,9.000E-007,8.000E-007,2.647E+000,2.775E+000,2.647E+000,1.160E+002,1.160E+002,0.000E+000,4.800E-009,1.000E-006,5.490E-003,0.000E+000,7.870E-001,0.000E+000,8.660E-001,0.000E+000,7.100E-009,9.000E-009,9.999E-009,0.000E+000,2.647E+000,4.200E-009,4.800E-009,
544,1,4.200E-003,9.000E-007,1.200E-006,8.000E-007,2.641E+000,2.769E+000,2.641E+000,1.157E+002,1.159E+002,2.000E-001,4.500E-009,0.000E+000,5.510E-003,0.000E+000,7.890E-001,0.000E+000,8.680E-001,0.000E+000,5.400E-009,8.900E-009,9.999E-009,0.000E+000,2.642E+000,4.300E-009,5.200E-009,
545,1,4.900E-003,7.000E-007,1.000E-006,9.000E-007,2.620E+000,2.747E+000,2.619E+000,1.168E+002,1.170E+002,2.000E-001,4.500E-009,0.000E+000,5.524E-003,0.000E+000,7.880E-001,0.000E+000,8.680E-001,0.000E+000,9.500E-009,8.800E-009,9.999E-009,0.000E+000,2.621E+000,4.100E-009,4.600E-009,
546,1,4.200E-003,9.000E-007,8.000E-007,8.000E-007,2.631E+000,2.758E+000,2.632E+000,1.165E+002,1.167E+002,2.000E-001,4.600E-009,0.000E+000,5.553E-003,0.000E+000,7.890E-001,0.000E+000,8.670E-001,0.000E+000,9.900E-009,7.500E-009,9.999E-009,0.000E+000,2.632E+000,4.000E-009,4.600E-009,
547,1,3.800E-003,7.000E-007,1.000E-006,9.000E-007,2.618E+000,2.747E+000,2.618E+000,1.170E+002,1.169E+002,1.000E-001,4.800E-009,0.000E+000,5.517E-003,0.000E+000,7.880E-001,0.000E+000,8.680E-001,0.000E+000,8.100E-009,7.500E-009,9.999E-009,0.000E+000,2.620E+000,4.000E-009,5.200E-009,
548,1,4.900E-003,9.000E-007,1.100E-006,8.000E-007,2.657E+000,2.785E+000,2.657E+000,1.157E+002,1.158E+002,1.000E-001,4.600E-009,0.000E+000,5.516E-003,0.000E+000,7.880E-001,0.000E+000,8.670E-001,0.000E+000,5.800E-009,9.800E-009,9.999E-009,0.000E+000,2.658E+000,4.200E-009,5.000E-009,
549,1,7.700E-003,6.000E-007,7.000E-007,1.100E-006,2.646E+000,2.774E+000,2.646E+000,1.162E+002,1.162E+002,0.000E+000,4.700E-009,0.000E+000,5.529E-003,0.000E+000,7.890E-001,0.000E+000,8.660E-001,0.000E+000,8.200E-009,8.400E-009,9.999E-009,0.000E+000,2.648E+000,4.200E-009,5.000E-009,
550,1,6.900E-003,1.000E-006,7.000E-007,9.000E-007,2.677E+000,2.806E+000,2.678E+000,1.175E+002,1.176E+002,1.000E-001,4.900E-009,0.000E+000,5.720E-003,0.000E+000,7.890E-001,0.000E+000,8.680E-001,0.000E+000,4.800E-009,7.800E-009,9.999E-009,2.000E-010,2.679E+000,4.000E-009,5.000E-009,
551,1,5.700E-003,1.000E-006,1.100E-006,9.000E-007,2.660E+000,2.787E+000,2.659E+000,1.157E+002,1.157E+002,0.000E+000,4.500E-009,0.000E+000,5.589E-003,0.000E+000,7.880E-001,0.000E+000,8.670E-001,0.000E+000,4.200E-009,6.500E-009,9.999E-009,1.000E-010,2.660E+000,3.700E-009,4.900E-009,
552,1,4.000E-003,1.400E-006,1.000E-006,1.000E-006,2.657E+000,2.785E+000,2.658E+000,1.179E+002,1.179E+002,0.000E+000,4.400E-009,0.000E+000,5.737E-003,0.000E+000,7.880E-001,0.000E+000,8.680E-001,0.000E+000,4.600E-009,7.400E-009,9.999E-009,3.000E-010,2.658E+000,3.900E-009,5.100E-009,
553,1,4.300E-003,8.000E-007,1.100E-006,9.000E-007,2.668E+000,2.797E+000,2.668E+000,1.177E+002,1.177E+002,0.000E+000,4.500E-009,0.000E+000,5.712E-003,0.000E+000,7.900E-001,0.000E+000,8.690E-001,0.000E+000,4.600E-009,8.300E-009,9.999E-009,0.000E+000,2.669E+000,4.200E-009,4.600E-009,
554,1,5.700E-003,1.300E-006,9.000E-007,9.000E-007,2.678E+000,2.807E+000,2.679E+000,1.191E+002,1.193E+002,2.000E-001,4.500E-009,0.000E+000,5.864E-003,0.000E+000,7.910E-001,0.000E+000,8.700E-001,0.000E+000,4.300E-009,7.200E-009,9.999E-009,3.000E-010,2.679E+000,3.900E-009,5.400E-009,
555,1,5.100E-003,4.000E-007,9.000E-007,9.000E-007,2.665E+000,2.794E+000,2.665E+000,1.118E+002,1.102E+002,1.600E+000,4.200E-009,0.000E+000,5.766E-003,0.000E+000,7.900E-001,0.000E+000,8.710E-001,0.000E+000,4.500E-009,9.100E-009,9.999E-009,0.000E+000,2.666E+000,4.300E-009,4.700E-009,
556,1,3.800E-003,1.200E-006,8.000E-007,9.000E-007,2.677E+000,2.806E+000,2.678E+000,1.194E+002,1.195E+002,1.000E-001,4.700E-009,1.000E-006,5.853E-003,0.000E+000,7.910E-001,0.000E+000,8.680E-001,0.000E+000,4.500E-009,9.300E-009,9.999E-009,1.000E-010,2.678E+000,4.200E-009,4.700E-009,
557,1,1.940E-002,1.000E-006,1.000E-006,1.000E-006,2.679E+000,2.809E+000,2.680E+000,1.185E+002,1.184E+002,1.000E-001,4.900E-009,0.000E+000,5.872E-003,0.000E+000,7.910E-001,0.000E+000,8.720E-001,0.000E+000,4.400E-009,7.400E-009,9.999E-009,1.000E-010,2.682E+000,4.300E-009,4.800E-009,
558,1,4.300E-003,1.500E-006,8.000E-007,8.000E-007,2.659E+000,2.788E+000,2.659E+000,1.183E+002,1.184E+002,1.000E-001,4.500E-009,0.000E+000,5.768E-003,0.000E+000,7.890E-001,0.000E+000,8.680E-001,0.000E+000,4.800E-009,8.600E-009,9.999E-009,0.000E+000,2.660E+000,4.200E-009,4.600E-009,
559,1,4.000E-003,1.000E-006,5.000E-007,9.000E-007,2.669E+000,2.797E+000,2.669E+000,1.187E+002,1.188E+002,1.000E-001,5.000E-009,0.000E+000,5.821E-003,0.000E+000,7.910E-001,0.000E+000,8.720E-001,0.000E+000,4.400E-009,8.000E-009,9.999E-009,1.000E-010,2.670E+000,4.000E-009,5.000E-009,
560,1,4.000E-003,8.000E-007,6.000E-007,9.000E-007,2.687E+000,2.814E+000,2.687E+000,1.166E+002,1.164E+002,2.000E-001,4.700E-009,0.000E+000,5.697E-003,0.000E+000,7.890E-001,0.000E+000,8.680E-001,0.000E+000,4.500E-009,9.000E-009,9.999E-009,0.000E+000,2.688E+000,4.000E-009,4.900E-009,
561,1,4.600E-003,1.000E-006,1.000E-006,9.000E-007,2.658E+000,2.787E+000,2.658E+000,1.179E+002,1.179E+002,0.000E+000,4.700E-009,0.000E+000,5.776E-003,0.000E+000,7.910E-001,0.000E+000,8.690E-001,0.000E+000,4.800E-009,9.000E-009,9.999E-009,2.000E-010,2.659E+000,4.000E-009,4.600E-009,
562,1,3.800E-003,1.000E-006,6.000E-007,1.000E-006,2.683E+000,2.810E+000,2.683E+000,1.160E+002,1.160E+002,0.000E+000,4.800E-009,0.000E+000,5.620E-003,0.000E+000,7.910E-001,0.000E+000,8.660E-001,0.000E+000,4.300E-009,7.100E-009,9.999E-009,0.000E+000,2.683E+000,3.900E-009,5.000E-009,
563,1,4.300E-003,9.000E-007,1.000E-006,1.200E-006,2.678E+000,2.805E+000,2.678E+000,1.161E+002,1.161E+002,0.000E+000,4.300E-009,0.000E+000,5.650E-003,0.000E+000,7.890E-001,0.000E+000,8.670E-001,0.000E+000,4.600E-009,9.000E-009,9.999E-009,0.000E+000,2.680E+000,4.200E-009,4.900E-009,
564,1,6.100E-003,6.000E-007,9.000E-007,1.000E-006,2.667E+000,2.794E+000,2.666E+000,1.162E+002,1.162E+002,0.000E+000,4.400E-009,0.000E+000,5.588E-003,0.000E+000,7.880E-001,0.000E+000,8.660E-001,0.000E+000,5.600E-009,6.600E-009,9.999E-009,3.000E-010,2.667E+000,3.800E-009,4.800E-009,
565,1,4.000E-003,1.100E-006,8.000E-007,1.000E-006,2.675E+000,2.803E+000,2.675E+000,1.160E+002,1.160E+002,0.000E+000,4.600E-009,0.000E+000,5.614E-003,0.000E+000,7.890E-001,0.000E+000,8.670E-001,0.000E+000,4.700E-009,8.500E-009,9.999E-009,2.000E-010,2.676E+000,3.900E-009,4.600E-009,
566,1,4.300E-003,1.000E-006,8.000E-007,1.000E-006,2.625E+000,2.754E+000,2.626E+000,1.174E+002,1.175E+002,1.000E-001,4.400E-009,0.000E+000,5.646E-003,0.000E+000,7.900E-001,0.000E+000,8.690E-001,0.000E+000,1.190E-008,6.200E-009,9.999E-009,3.000E-010,2.628E+000,3.600E-009,4.900E-009,
567,1,3.900E-003,1.300E-006,1.100E-006,9.000E-007,2.649E+000,2.776E+000,2.649E+000,1.164E+002,1.165E+002,1.000E-001,4.700E-009,0.000E+000,5.576E-003,0.000E+000,7.900E-001,0.000E+000,8.690E-001,0.000E+000,8.700E-009,9.900E-009,9.999E-009,0.000E+000,2.651E+000,4.200E-009,4.700E-009,
568,1,3.900E-003,1.100E-006,8.000E-007,1.000E-006,2.672E+000,2.800E+000,2.672E+000,1.160E+002,1.160E+002,0.000E+000,4.500E-009,0.000E+000,5.628E-003,0.000E+000,7.910E-001,0.000E+000,8.700E-001,0.000E+000,5.300E-009,8.000E-009,9.999E-009,0.000E+000,2.672E+000,4.200E-009,4.800E-009,
569,1,4.500E-003,9.000E-007,8.000E-007,1.200E-006,2.642E+000,2.770E+000,2.642E+000,1.181E+002,1.181E+002,0.000E+000,4.500E-009,0.000E+000,5.656E-003,0.000E+000,7.910E-001,0.000E+000,8.710E-001,0.000E+000,5.200E-009,6.300E-009,9.999E-009,5.000E-010,2.643E+000,3.700E-009,4.800E-009,
570,1,4.500E-003,8.000E-007,7.000E-007,9.000E-007,2.612E+000,2.740E+000,2.612E+000,1.184E+002,1.184E+002,0.000E+000,4.600E-009,0.000E+000,5.770E-003,0.000E+000,7.880E-001,0.000E+000,8.670E-001,0.000E+000,5.400E-009,7.800E-009,9.999E-009,3.000E-010,2.614E+000,4.000E-009,5.200E-009,
571,1,4.200E-003,1.100E-006,7.000E-007,8.000E-007,2.679E+000,2.807E+000,2.680E+000,1.159E+002,1.159E+002,0.000E+000,4.300E-009,0.000E+000,5.624E-003,0.000E+000,7.890E-001,0.000E+000,8.660E-001,0.000E+000,4.300E-009,4.800E-009,9.999E-009,4.000E-010,2.681E+000,3.700E-009,4.900E-009,
572,1,5.700E-003,1.000E-006,9.000E-007,1.000E-006,2.625E+000,2.753E+000,2.625E+000,1.193E+002,1.194E+002,1.000E-001,4.800E-009,0.000E+000,5.782E-003,0.000E+000,7.910E-001,0.000E+000,8.710E-001,0.000E+000,4.500E-009,7.100E-009,9.999E-009,0.000E+000,2.626E+000,3.900E-009,5.000E-009,
573,1,4.200E-003,1.100E-006,1.100E-006,9.000E-007,2.619E+000,2.747E+000,2.620E+000,1.188E+002,1.189E+002,1.000E-001,4.500E-009,0.000E+000,5.820E-003,0.000E+000,7.880E-001,0.000E+000,8.680E-001,0.000E+000,4.700E-009,6.700E-009,9.999E-009,3.000E-010,2.621E+000,3.800E-009,4.700E-009,
574,1,4.100E-003,1.100E-006,5.000E-007,9.000E-007,2.632E+000,2.759E+000,2.633E+000,1.198E+002,1.199E+002,1.000E-001,4.500E-009,0.000E+000,5.838E-003,0.000E+000,7.900E-001,0.000E+000,8.730E-001,0.000E+000,3.800E-009,7.400E-009,9.999E-009,2.000E-010,2.633E+000,3.700E-009,4.700E-009,
575,1,4.300E-003,1.100E-006,9.000E-007,8.000E-007,2.629E+000,2.758E+000,2.629E+000,1.196E+002,1.198E+002,2.000E-001,4.500E-009,0.000E+000,5.873E-003,0.000E+000,7.880E-001,0.000E+000,8.680E-001,0.000E+000,4.300E-009,6.400E-009,9.999E-009,1.000E-010,2.630E+000,4.100E-009,5.300E-009,
576,1,4.400E-003,7.000E-007,1.300E-006,9.000E-007,2.634E+000,2.764E+000,2.634E+000,1.187E+002,1.188E+002,1.000E-001,4.800E-009,0.000E+000,5.806E-003,0.000E+000,7.890E-001,0.000E+000,8.720E-001,0.000E+000,4.000E-009,7.000E-009,9.999E-009,1.000E-010,2.635E+000,4.000E-009,4.800E-009,
577,1,4.500E-003,8.000E-007,1.100E-006,1.100E-006,2.631E+000,2.759E+000,2.630E+000,1.191E+002,1.194E+002,3.000E-001,4.800E-009,0.000E+000,5.906E-003,0.000E+000,7.900E-001,0.000E+000,8.730E-001,0.000E+000,4.200E-009,9.600E-009,9.999E-009,1.000E-010,2.633E+000,4.100E-009,4.600E-009,
578,1,4.500E-003,1.000E-006,1.100E-006,1.000E-006,2.628E+000,2.756E+000,2.629E+000,1.193E+002,1.193E+002,0.000E+000,4.200E-009,0.000E+000,5.840E-003,0.000E+000,7.880E-001,0.000E+000,8.680E-001,0.000E+000,4.300E-009,7.700E-009,9.999E-009,2.000E-010,2.630E+000,3.800E-009,4.800E-009,
579,1,4.100E-003,9.000E-007,7.000E-007,8.000E-007,2.634E+000,2.763E+000,2.635E+000,1.198E+002,1.197E+002,1.000E-001,4.700E-009,0.000E+000,5.932E-003,0.000E+000,7.890E-001,0.000E+000,8.690E-001,0.000E+000,3.900E-009,8.700E-009,9.999E-009,1.000E-010,2.635E+000,3.900E-009,4.600E-009,
580,1,5.100E-003,1.100E-006,9.000E-007,1.000E-006,2.681E+000,2.810E+000,2.682E+000,1.163E+002,1.163E+002,0.000E+000,4.900E-009,0.000E+000,5.602E-003,0.000E+000,7.890E-001,0.000E+000,8.660E-001,0.000E+000,5.100E-009,7.700E-009,9.999E-009,0.000E+000,2.683E+000,4.100E-009,5.000E-009,
581,1,5.800E-003,7.000E-007,6.000E-007,1.100E-006,2.618E+000,2.747E+000,2.618E+000,1.184E+002,1.185E+002,1.000E-001,4.600E-009,0.000E+000,5.812E-003,0.000E+000,7.880E-001,0.000E+000,8.670E-001,0.000E+000,5.700E-009,8.100E-009,9.999E-009,0.000E+000,2.619E+000,4.100E-009,5.000E-009,
582,1,8.000E-003,1.000E-006,1.000E-006,1.100E-006,2.610E+000,2.737E+000,2.610E+000,1.173E+002,1.173E+002,0.000E+000,4.400E-009,0.000E+000,5.606E-003,0.000E+000,7.890E-001,0.000E+000,8.660E-001,0.000E+000,1.620E-008,6.000E-009,9.999E-009,4.000E-010,2.611E+000,3.700E-009,4.800E-009,
583,1,8.500E-003,1.000E-006,1.000E-006,9.000E-007,2.655E+000,2.782E+000,2.656E+000,1.163E+002,1.164E+002,1.000E-001,4.600E-009,0.000E+000,5.617E-003,0.000E+000,7.900E-001,0.000E+000,8.670E-001,0.000E+000,7.500E-009,8.400E-009,9.999E-009,3.000E-010,2.656E+000,3.900E-009,4.700E-009,
584,1,5.400E-003,7.000E-007,1.000E-006,1.000E-006,2.662E+000,2.789E+000,2.661E+000,1.165E+002,1.165E+002,0.000E+000,4.600E-009,0.000E+000,5.628E-003,0.000E+000,7.890E-001,0.000E+000,8.660E-001,0.000E+000,6.500E-009,7.500E-009,9.999E-009,0.000E+000,2.662E+000,4.100E-009,4.700E-009,
585,1,6.100E-003,1.300E-006,1.000E-006,1.000E-006,2.643E+000,2.771E+000,2.644E+000,1.167E+002,1.168E+002,1.000E-001,4.600E-009,0.000E+000,5.660E-003,0.000E+000,7.890E-001,0.000E+000,8.680E-001,0.000E+000,9.600E-009,8.100E-009,9.999E-009,0.000E+000,2.645E+000,4.200E-009,4.700E-009,
586,1,4.900E-003,1.000E-006,8.000E-007,9.000E-007,2.684E+000,2.812E+000,2.684E+000,1.162E+002,1.163E+002,1.000E-001,4.800E-009,0.000E+000,5.653E-003,0.000E+000,7.910E-001,0.000E+000,8.680E-001,0.000E+000,4.900E-009,9.800E-009,9.999E-009,0.000E+000,2.684E+000,4.300E-009,4.800E-009,
587,1,6.100E-003,1.000E-006,1.200E-006,8.000E-007,2.675E+000,2.802E+000,2.675E+000,1.163E+002,1.163E+002,0.000E+000,4.800E-009,0.000E+000,5.638E-003,0.000E+000,7.890E-001,0.000E+000,8.690E-001,0.000E+000,5.000E-009,7.900E-009,9.999E-009,1.000E-010,2.675E+000,3.900E-009,5.100E-009,
588,1,4.500E-003,3.000E-007,9.000E-007,1.000E-006,2.696E+000,2.825E+000,2.697E+000,1.164E+002,1.166E+002,2.000E-001,4.400E-009,0.000E+000,5.726E-003,0.000E+000,7.900E-001,0.000E+000,8.690E-001,0.000E+000,4.000E-009,6.800E-009,9.999E-009,3.000E-010,2.697E+000,3.900E-009,4.900E-009,
589,1,5.500E-003,7.000E-007,9.000E-007,1.000E-006,2.691E+000,2.820E+000,2.690E+000,1.164E+002,1.164E+002,0.000E+000,4.800E-009,0.000E+000,5.700E-003,0.000E+000,7.910E-001,0.000E+000,8.700E-001,0.000E+000,4.500E-009,1.000E-008,9.999E-009,0.000E+000,2.692E+000,4.200E-009,4.700E-009,
590,1,4.300E-003,7.000E-007,1.000E-006,1.000E-006,2.629E+000,2.756E+000,2.628E+000,1.160E+002,1.161E+002,1.000E-001,4.400E-009,0.000E+000,5.533E-003,0.000E+000,7.910E-001,0.000E+000,8.700E-001,0.000E+000,6.800E-009,6.700E-009,9.999E-009,3.000E-010,2.630E+000,3.700E-009,4.900E-009,
591,1,8.400E-003,8.000E-007,9.000E-007,1.000E-006,2.694E+000,2.823E+000,2.694E+000,1.165E+002,1.165E+002,0.000E+000,4.700E-009,0.000E+000,5.688E-003,0.000E+000,7.910E-001,0.000E+000,8.690E-001,0.000E+000,4.200E-009,8.300E-009,9.999E-009,0.000E+000,2.696E+000,4.000E-009,4.600E-009,
592,1,4.300E-003,7.000E-007,1.000E-006,8.000E-007,2.633E+000,2.760E+000,2.633E+000,1.157E+002,1.159E+002,2.000E-001,4.600E-009,0.000E+000,5.533E-003,0.000E+000,7.900E-001,0.000E+000,8.670E-001,0.000E+000,1.110E-008,7.500E-009,9.999E-009,2.000E-010,2.633E+000,3.700E-009,5.000E-009,
593,1,4.100E-003,1.400E-006,8.000E-007,9.000E-007,2.630E+000,2.759E+000,2.632E+000,1.159E+002,1.160E+002,1.000E-001,4.500E-009,0.000E+000,5.500E-003,0.000E+000,7.910E-001,0.000E+000,8.700E-001,0.000E+000,7.000E-009,6.100E-009,9.999E-009,3.000E-010,2.632E+000,3.900E-009,5.100E-009,
594,1,4.300E-003,1.300E-006,8.000E-007,1.000E-006,2.688E+000,2.817E+000,2.689E+000,1.165E+002,1.166E+002,1.000E-001,4.800E-009,0.000E+000,5.662E-003,0.000E+000,7.900E-001,0.000E+000,8.670E-001,0.000E+000,4.100E-009,7.200E-009,9.999E-009,3.000E-010,2.689E+000,3.900E-009,4.800E-009,
595,1,3.600E-003,4.000E-007,1.100E-006,1.000E-006,2.656E+000,2.784E+000,2.657E+000,1.156E+002,1.159E+002,3.000E-001,4.500E-009,0.000E+000,5.558E-003,0.000E+000,7.890E-001,0.000E+000,8.670E-001,0.000E+000,6.800E-009,6.300E-009,9.999E-009,5.000E-010,2.657E+000,3.800E-009,5.100E-009,
596,1,3.800E-003,1.200E-006,7.000E-007,9.000E-007,2.690E+000,2.819E+000,2.691E+000,1.159E+002,1.160E+002,1.000E-001,4.700E-009,0.000E+000,5.653E-003,0.000E+000,7.900E-001,0.000E+000,8.690E-001,0.000E+000,4.500E-009,9.200E-009,9.999E-009,0.000E+000,2.692E+000,4.200E-009,4.800E-009,
597,1,4.400E-003,1.200E-006,8.000E-007,9.000E-007,2.688E+000,2.817E+000,2.687E+000,1.162E+002,1.163E+002,1.000E-001,4.700E-009,0.000E+000,5.638E-003,0.000E+000,7.900E-001,0.000E+000,8.680E-001,0.000E+000,4.300E-009,9.400E-009,9.999E-009,2.000E-010,2.689E+000,4.200E-009,4.700E-009,
598,1,4.200E-003,1.000E-006,1.000E-007,1.000E-006,2.708E+000,2.836E+000,2.708E+000,1.163E+002,1.165E+002,2.000E-001,4.400E-009,0.000E+000,5.708E-003,0.000E+000,7.910E-001,0.000E+000,8.690E-001,0.000E+000,4.200E-009,6.900E-009,9.999E-009,1.000E-010,2.708E+000,3.900E-009,4.500E-009,
599,1,4.600E-003,9.000E-007,7.000E-007,9.000E-007,2.698E+000,2.826E+000,2.698E+000,1.158E+002,1.160E+002,2.000E-001,4.500E-009,0.000E+000,5.629E-003,0.000E+000,7.890E-001,0.000E+000,8.690E-001,0.000E+000,4.300E-009,7.100E-009,9.999E-009,4.000E-010,2.698E+000,3.900E-009,5.100E-009,
600,1,7.900E-003,5.000E-007,9.000E-007,9.000E-007,2.592E+000,2.718E+000,2.591E+000,1.184E+002,1.184E+002,0.000E+000,4.700E-009,0.000E+000,5.690E-003,0.000E+000,7.870E-001,0.000E+000,8.700E-001,0.000E+000,3.900E-009,7.400E-009,9.999E-009,3.000E-010,2.592E+000,3.900E-009,4.800E-009,
601,1,5.400E-003,6.000E-007,1.100E-006,9.000E-007,2.706E+000,2.836E+000,2.706E+000,1.165E+002,1.165E+002,0.000E+000,4.700E-009,0.000E+000,5.686E-003,0.000E+000,7.910E-001,0.000E+000,8.710E-001,0.000E+000,4.500E-009,8.300E-009,9.999E-009,1.000E-010,2.707E+000,4.000E-009,5.100E-009,
602,1,3.800E-003,1.200E-006,1.000E-006,1.000E-006,2.619E+000,2.746E+000,2.619E+000,1.165E+002,1.167E+002,2.000E-001,4.500E-009,0.000E+000,5.628E-003,0.000E+000,7.880E-001,0.000E+000,8.650E-001,0.000E+000,5.000E-009,7.200E-009,9.999E-009,2.000E-010,2.620E+000,3.900E-009,5.000E-009,
603,1,4.000E-003,9.000E-007,5.000E-007,1.000E-006,2.595E+000,2.720E+000,2.596E+000,1.174E+002,1.177E+002,3.000E-001,4.800E-009,0.000E+000,5.661E-003,0.000E+000,7.860E-001,0.000E+000,8.650E-001,0.000E+000,4.600E-009,8.300E-009,9.999E-009,1.000E-010,2.596E+000,4.000E-009,5.100E-009,
604,1,4.400E-003,6.000E-007,9.000E-007,9.000E-007,2.643E+000,2.770E+000,2.644E+000,1.166E+002,1.166E+002,0.000E+000,4.700E-009,0.000E+000,5.652E-003,0.000E+000,7.880E-001,0.000E+000,8.660E-001,0.000E+000,4.400E-009,7.800E-009,9.999E-009,3.000E-010,2.644E+000,3.700E-009,4.900E-009,
605,1,4.300E-003,7.000E-007,8.000E-007,9.000E-007,2.628E+000,2.755E+000,2.628E+000,1.165E+002,1.165E+002,0.000E+000,4.500E-009,0.000E+000,5.632E-003,0.000E+000,7.890E-001,0.000E+000,8.660E-001,0.000E+000,4.800E-009,8.200E-009,9.999E-009,2.000E-010,2.629E+000,3.800E-009,4.700E-009,
606,1,4.500E-003,1.100E-006,1.000E-006,1.000E-006,2.669E+000,2.796E+000,2.669E+000,1.166E+002,1.166E+002,0.000E+000,4.800E-009,0.000E+000,5.657E-003,0.000E+000,7.910E-001,0.000E+000,8.690E-001,0.000E+000,4.600E-009,7.500E-009,9.999E-009,0.000E+000,2.671E+000,4.500E-009,5.000E-009,
607,1,4.300E-003,8.000E-007,1.100E-006,9.000E-007,2.658E+000,2.785E+000,2.658E+000,1.166E+002,1.166E+002,0.000E+000,4.600E-009,1.000E-006,5.641E-003,0.000E+000,7.890E-001,0.000E+000,8.670E-001,0.000E+000,4.300E-009,8.800E-009,9.999E-009,1.000E-010,2.658E+000,3.900E-009,4.500E-009,
608,1,4.700E-003,7.000E-007,5.000E-007,7.000E-007,2.669E+000,2.796E+000,2.668E+000,1.163E+002,1.164E+002,1.000E-001,4.300E-009,0.000E+000,5.673E-003,0.000E+000,7.900E-001,0.000E+000,8.670E-001,0.000E+000,4.200E-009,7.700E-009,9.999E-009,1.000E-010,2.669E+000,3.900E-009,4.600E-009,
609,1,3.800E-003,1.000E-006,1.000E-006,8.000E-007,2.675E+000,2.803E+000,2.674E+000,1.165E+002,1.166E+002,1.000E-001,4.600E-009,1.000E-006,5.666E-003,0.000E+000,7.900E-001,0.000E+000,8.680E-001,0.000E+000,4.000E-009,6.800E-009,9.999E-009,2.000E-010,2.676E+000,3.900E-009,4.900E-009,
610,1,5.300E-003,7.000E-007,1.300E-006,1.000E-006,2.590E+000,2.717E+000,2.590E+000,1.171E+002,1.171E+002,0.000E+000,4.500E-009,0.000E+000,5.629E-003,0.000E+000,7.880E-001,0.000E+000,8.680E-001,0.000E+000,6.700E-009,7.600E-009,9.999E-009,2.000E-010,2.591E+000,4.100E-009,5.300E-009,
611,1,9.300E-003,9.000E-007,8.000E-007,8.000E-007,2.667E+000,2.795E+000,2.667E+000,1.163E+002,1.164E+002,1.000E-001,4.500E-009,0.000E+000,5.644E-003,0.000E+000,7.900E-001,0.000E+000,8.680E-001,0.000E+000,5.000E-009,8.800E-009,9.999E-009,0.000E+000,2.669E+000,4.300E-009,5.000E-009,
612,1,5.400E-003,7.000E-007,1.200E-006,9.000E-007,2.604E+000,2.732E+000,2.604E+000,1.174E+002,1.175E+002,1.000E-001,4.600E-009,0.000E+000,5.708E-003,0.000E+000,7.890E-001,0.000E+000,8.680E-001,0.000E+000,5.400E-009,7.000E-009,9.999E-009,3.000E-010,2.605E+000,4.000E-009,5.100E-009,
613,1,7.200E-003,8.000E-007,1.000E-006,9.000E-007,2.594E+000,2.719E+000,2.593E+000,1.171E+002,1.173E+002,2.000E-001,4.700E-009,0.000E+000,5.660E-003,0.000E+000,7.890E-001,0.000E+000,8.680E-001,0.000E+000,6.000E-009,8.800E-009,9.999E-009,0.000E+000,2.594E+000,4.000E-009,4.500E-009,
