Average,,7.113mV,0.883uA(F),0.921uA,1.002uA(F),2.652V,2.780V,2.652V,116.7V,116.8V,-0.07,-4.69Over(F),-0.00mA,5.654mR,Over,0.784V,Over,0.863V,Over,5.718nA,8.206nA(F),9.955nA,0.188nA,2.644V,-3.91nA,4.911nA,
STDEV,,7.7641,7.5549,0.2643,4.3391,0.0808,0.0843,0.0808,3.4019,3.4080,0.1363,4.6481,0.0002,0.3120,0.0000,0.0422,0.0000,0.0464,0.0000,2.4127,9.0020,0.6647,0.1676,0.1794,0.3247,0.3891,
Min Data,,003.5mV,-402.1uA,-000.2uA,------,------,------,------,113.7V,112.3V,-000.5,-290.2nA,-0.001mA,------,------,------,------,0.859V,------,004.0nA,005.8nA,9.999nA,-000.2nA,2.592V,-005.9nA,004.8nA,
Max Data,,175.3mV,237.4uA,002.1uA,269.4uA,2.735V,2.864V,2.735V,120.1V,120.2V,003.0,,0.000mA,5.932mR,------,0.797V,------,0.878V,------,021.2nA,426.2nA,9.999nA,000.9nA,2.734V,-003.7nA,005.9nA,

Serial#,Bin# 
10,1,4.000E-003,9.000E-007,7.000E-007,1.000E-006,2.597E+000,2.724E+000,2.598E+000,1.180E+002,1.180E+002,0.000E+000,4.800E-009,0.000E+000,5.704E-003,0.000E+000,7.870E-001,0.000E+000,8.640E-001,0.000E+000,1.300E-008,7.700E-009,9.999E-009,3.000E-010,2.597E+000,3.900E-009,5.000E-009,
11,1,5.900E-003,1.600E-006,1.000E-006,1.000E-006,2.604E+000,2.730E+000,2.605E+000,1.176E+002,1.177E+002,1.000E-001,4.700E-009,0.000E+000,5.648E-003,0.000E+000,7.880E-001,0.000E+000,8.640E-001,0.000E+000,1.440E-008,9.900E-009,9.999E-009,0.000E+000,2.605E+000,4.200E-009,4.800E-009,
12,1,4.700E-003,7.000E-007,1.200E-006,9.000E-007,2.673E+000,2.801E+000,2.674E+000,1.158E+002,1.159E+002,1.000E-001,4.500E-009,0.000E+000,5.573E-003,0.000E+000,7.850E-001,0.000E+000,8.580E-001,0.000E+000,5.300E-009,5.500E-009,9.999E-009,5.000E-010,2.675E+000,3.600E-009,4.900E-009,
13,1,3.900E-003,7.000E-007,1.000E-006,1.000E-006,2.675E+000,2.804E+000,2.676E+000,1.167E+002,1.168E+002,1.000E-001,5.000E-009,0.000E+000,5.617E-003,0.000E+000,7.840E-001,0.000E+000,8.570E-001,0.000E+000,4.600E-009,1.000E-008,9.999E-009,0.000E+000,2.677E+000,4.100E-009,5.100E-009,
14,1,4.100E-003,9.000E-007,6.000E-007,9.000E-007,2.684E+000,2.812E+000,2.685E+000,1.162E+002,1.162E+002,0.000E+000,4.300E-009,0.000E+000,5.588E-003,0.000E+000,7.860E-001,0.000E+000,8.600E-001,0.000E+000,5.000E-009,6.700E-009,9.999E-009,1.000E-010,2.686E+000,3.900E-009,4.500E-009,
15,1,4.200E-003,1.300E-006,9.000E-007,8.000E-007,2.679E+000,2.806E+000,2.679E+000,1.159E+002,1.160E+002,1.000E-001,4.900E-009,0.000E+000,5.594E-003,0.000E+000,7.840E-001,0.000E+000,8.590E-001,0.000E+000,5.500E-009,7.800E-009,9.999E-009,1.000E-010,2.680E+000,3.800E-009,5.100E-009,
16,1,4.000E-003,6.000E-007,1.200E-006,1.000E-006,2.687E+000,2.815E+000,2.687E+000,1.165E+002,1.164E+002,1.000E-001,4.800E-009,0.000E+000,5.673E-003,0.000E+000,7.860E-001,0.000E+000,8.620E-001,0.000E+000,4.800E-009,8.100E-009,9.999E-009,0.000E+000,2.689E+000,3.900E-009,4.600E-009,
17,1,4.000E-003,8.000E-007,1.600E-006,9.000E-007,2.686E+000,2.814E+000,2.687E+000,1.163E+002,1.164E+002,1.000E-001,4.700E-009,0.000E+000,5.621E-003,0.000E+000,7.870E-001,0.000E+000,8.590E-001,0.000E+000,5.000E-009,7.900E-009,9.999E-009,1.000E-010,2.687E+000,4.000E-009,5.100E-009,
18,1,3.900E-003,9.000E-007,7.000E-007,1.000E-006,2.689E+000,2.817E+000,2.689E+000,1.162E+002,1.162E+002,0.000E+000,5.100E-009,0.000E+000,5.665E-003,0.000E+000,7.860E-001,0.000E+000,8.630E-001,0.000E+000,5.200E-009,8.300E-009,9.999E-009,3.000E-010,2.690E+000,4.100E-009,5.200E-009,
19,1,4.000E-003,1.400E-006,1.000E-006,1.000E-006,2.688E+000,2.816E+000,2.687E+000,1.162E+002,1.164E+002,2.000E-001,4.600E-009,0.000E+000,5.588E-003,0.000E+000,7.880E-001,0.000E+000,8.660E-001,0.000E+000,5.000E-009,9.500E-009,9.999E-009,0.000E+000,2.690E+000,4.200E-009,4.900E-009,
20,1,3.900E-003,1.100E-006,1.000E-006,1.000E-006,2.690E+000,2.818E+000,2.690E+000,1.158E+002,1.159E+002,1.000E-001,4.500E-009,0.000E+000,5.617E-003,0.000E+000,7.850E-001,0.000E+000,8.640E-001,0.000E+000,5.200E-009,6.500E-009,9.999E-009,5.000E-010,2.690E+000,3.600E-009,5.000E-009,
21,1,4.200E-003,7.000E-007,8.000E-007,9.000E-007,2.689E+000,2.817E+000,2.688E+000,1.161E+002,1.162E+002,1.000E-001,5.100E-009,0.000E+000,5.630E-003,0.000E+000,7.850E-001,0.000E+000,8.650E-001,0.000E+000,5.500E-009,9.200E-009,9.999E-009,1.000E-010,2.689E+000,4.200E-009,5.000E-009,
22,1,3.900E-003,7.000E-007,5.000E-007,1.000E-006,2.681E+000,2.809E+000,2.682E+000,1.165E+002,1.166E+002,1.000E-001,4.200E-009,1.000E-006,5.658E-003,0.000E+000,7.860E-001,0.000E+000,8.630E-001,0.000E+000,4.600E-009,6.900E-009,9.999E-009,1.000E-010,2.682E+000,3.700E-009,4.700E-009,
23,1,4.400E-003,9.000E-007,1.700E-006,1.000E-006,2.678E+000,2.805E+000,2.678E+000,1.165E+002,1.165E+002,0.000E+000,5.000E-009,0.000E+000,5.612E-003,0.000E+000,7.860E-001,0.000E+000,8.620E-001,0.000E+000,5.000E-009,7.100E-009,9.999E-009,1.000E-010,2.679E+000,3.900E-009,5.200E-009,
24,1,4.100E-003,1.200E-006,6.000E-007,9.000E-007,2.689E+000,2.819E+000,2.689E+000,1.184E+002,1.184E+002,0.000E+000,4.400E-009,0.000E+000,5.752E-003,0.000E+000,7.870E-001,0.000E+000,8.650E-001,0.000E+000,4.200E-009,7.700E-009,9.999E-009,3.000E-010,2.690E+000,3.900E-009,4.800E-009,
25,1,4.500E-003,1.200E-006,8.000E-007,9.000E-007,2.685E+000,2.813E+000,2.684E+000,1.173E+002,1.174E+002,1.000E-001,4.600E-009,0.000E+000,5.668E-003,0.000E+000,7.850E-001,0.000E+000,8.650E-001,0.000E+000,5.100E-009,7.200E-009,9.999E-009,1.000E-010,2.685E+000,3.900E-009,5.400E-009,
26,1,3.900E-003,9.000E-007,1.100E-006,1.000E-006,2.678E+000,2.807E+000,2.679E+000,1.178E+002,1.180E+002,2.000E-001,4.700E-009,0.000E+000,5.725E-003,0.000E+000,7.880E-001,0.000E+000,8.660E-001,0.000E+000,4.200E-009,8.900E-009,9.999E-009,0.000E+000,2.680E+000,3.900E-009,4.500E-009,
27,1,4.300E-003,1.100E-006,1.000E-006,9.000E-007,2.701E+000,2.831E+000,2.701E+000,1.184E+002,1.184E+002,0.000E+000,4.500E-009,0.000E+000,5.810E-003,0.000E+000,7.860E-001,0.000E+000,8.650E-001,0.000E+000,4.200E-009,7.500E-009,9.999E-009,3.000E-010,2.702E+000,3.700E-009,5.200E-009,
28,1,4.000E-003,1.000E-006,6.000E-007,1.200E-006,2.677E+000,2.805E+000,2.676E+000,1.176E+002,1.175E+002,1.000E-001,4.500E-009,0.000E+000,5.732E-003,0.000E+000,7.870E-001,0.000E+000,8.660E-001,0.000E+000,4.800E-009,7.900E-009,9.999E-009,0.000E+000,2.678E+000,3.900E-009,4.900E-009,
29,1,4.600E-003,6.000E-007,1.000E-006,1.000E-006,2.672E+000,2.800E+000,2.673E+000,1.177E+002,1.179E+002,2.000E-001,4.700E-009,0.000E+000,5.736E-003,0.000E+000,7.870E-001,0.000E+000,8.670E-001,0.000E+000,4.300E-009,7.700E-009,9.999E-009,3.000E-010,2.673E+000,3.800E-009,4.900E-009,
30,1,4.300E-003,4.000E-007,6.000E-007,9.000E-007,2.677E+000,2.806E+000,2.678E+000,1.171E+002,1.169E+002,2.000E-001,4.800E-009,0.000E+000,5.704E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,5.300E-009,8.800E-009,9.999E-009,0.000E+000,2.678E+000,4.300E-009,5.100E-009,
31,1,4.900E-003,1.600E-006,1.000E-006,1.000E-006,2.682E+000,2.811E+000,2.682E+000,1.174E+002,1.175E+002,1.000E-001,4.600E-009,0.000E+000,5.709E-003,0.000E+000,7.860E-001,0.000E+000,8.660E-001,0.000E+000,5.000E-009,5.300E-009,9.999E-009,3.000E-010,2.684E+000,3.800E-009,5.000E-009,
32,1,3.700E-003,1.000E-006,9.000E-007,1.000E-006,2.667E+000,2.796E+000,2.668E+000,1.158E+002,1.158E+002,0.000E+000,5.000E-009,0.000E+000,5.573E-003,0.000E+000,7.850E-001,0.000E+000,8.640E-001,0.000E+000,7.900E-009,1.020E-008,9.999E-009,0.000E+000,2.669E+000,4.100E-009,4.700E-009,
33,1,3.900E-003,7.000E-007,1.000E-006,7.000E-007,2.643E+000,2.770E+000,2.644E+000,1.158E+002,1.159E+002,1.000E-001,4.600E-009,0.000E+000,5.538E-003,0.000E+000,7.850E-001,0.000E+000,8.640E-001,0.000E+000,1.000E-008,6.500E-009,9.999E-009,3.000E-010,2.644E+000,3.600E-009,5.100E-009,
34,1,4.600E-003,8.000E-007,1.000E-006,1.000E-006,2.685E+000,2.813E+000,2.685E+000,1.158E+002,1.159E+002,1.000E-001,5.000E-009,0.000E+000,5.613E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,5.600E-009,9.100E-009,9.999E-009,0.000E+000,2.687E+000,4.200E-009,5.000E-009,
35,1,5.600E-003,8.000E-007,7.000E-007,1.000E-006,2.688E+000,2.816E+000,2.689E+000,1.159E+002,1.159E+002,0.000E+000,4.600E-009,0.000E+000,5.584E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,5.100E-009,7.800E-009,9.999E-009,4.000E-010,2.689E+000,3.700E-009,4.800E-009,
36,1,3.800E-003,1.200E-006,4.000E-007,7.000E-007,2.680E+000,2.808E+000,2.680E+000,1.162E+002,1.162E+002,0.000E+000,4.800E-009,0.000E+000,5.640E-003,0.000E+000,7.860E-001,0.000E+000,8.640E-001,0.000E+000,5.500E-009,7.900E-009,9.999E-009,2.000E-010,2.681E+000,4.100E-009,5.000E-009,
37,1,3.600E-003,1.000E-006,7.000E-007,9.000E-007,2.681E+000,2.809E+000,2.680E+000,1.161E+002,1.162E+002,1.000E-001,4.200E-009,0.000E+000,5.653E-003,0.000E+000,7.860E-001,0.000E+000,8.650E-001,0.000E+000,5.200E-009,8.000E-009,9.999E-009,1.000E-010,2.681E+000,4.000E-009,4.700E-009,
38,1,4.000E-003,1.100E-006,1.000E-006,1.000E-006,2.664E+000,2.793E+000,2.665E+000,1.162E+002,1.163E+002,1.000E-001,5.000E-009,0.000E+000,5.609E-003,0.000E+000,7.850E-001,0.000E+000,8.630E-001,0.000E+000,5.000E-009,6.800E-009,9.999E-009,1.000E-010,2.665E+000,3.900E-009,5.200E-009,
39,1,4.000E-003,8.000E-007,1.200E-006,1.000E-006,2.673E+000,2.802E+000,2.674E+000,1.161E+002,1.160E+002,1.000E-001,4.600E-009,0.000E+000,5.634E-003,0.000E+000,7.870E-001,0.000E+000,8.650E-001,0.000E+000,5.500E-009,7.300E-009,9.999E-009,2.000E-010,2.674E+000,3.900E-009,5.000E-009,
40,1,4.000E-003,1.100E-006,1.100E-006,9.000E-007,2.682E+000,2.812E+000,2.681E+000,1.165E+002,1.167E+002,2.000E-001,4.900E-009,0.000E+000,5.693E-003,0.000E+000,7.840E-001,0.000E+000,8.660E-001,0.000E+000,4.200E-009,8.000E-009,9.999E-009,1.000E-010,2.682E+000,3.900E-009,5.100E-009,
41,1,4.200E-003,1.500E-006,7.000E-007,1.000E-006,2.667E+000,2.795E+000,2.667E+000,1.166E+002,1.166E+002,0.000E+000,4.500E-009,0.000E+000,5.633E-003,0.000E+000,7.870E-001,0.000E+000,8.670E-001,0.000E+000,4.400E-009,8.500E-009,9.999E-009,2.000E-010,2.668E+000,3.900E-009,4.900E-009,
42,1,5.200E-003,1.000E-006,6.000E-007,9.000E-007,2.643E+000,2.770E+000,2.642E+000,1.184E+002,1.187E+002,3.000E-001,4.900E-009,0.000E+000,5.692E-003,0.000E+000,7.840E-001,0.000E+000,8.630E-001,0.000E+000,4.600E-009,8.200E-009,9.999E-009,2.000E-010,2.644E+000,4.000E-009,5.000E-009,
43,1,3.900E-003,1.100E-006,9.000E-007,9.000E-007,2.661E+000,2.790E+000,2.661E+000,1.195E+002,1.196E+002,1.000E-001,4.500E-009,0.000E+000,5.880E-003,0.000E+000,7.860E-001,0.000E+000,8.660E-001,0.000E+000,4.200E-009,8.800E-009,9.999E-009,1.000E-010,2.661E+000,3.900E-009,4.800E-009,
44,1,4.000E-003,9.000E-007,7.000E-007,9.000E-007,2.669E+000,2.796E+000,2.669E+000,1.170E+002,1.171E+002,1.000E-001,4.600E-009,0.000E+000,5.749E-003,0.000E+000,7.840E-001,0.000E+000,8.640E-001,0.000E+000,4.600E-009,6.100E-009,9.999E-009,1.000E-010,2.669E+000,4.000E-009,5.300E-009,
45,1,4.700E-003,9.000E-007,7.000E-007,9.000E-007,2.659E+000,2.786E+000,2.658E+000,1.172E+002,1.173E+002,1.000E-001,4.600E-009,0.000E+000,5.724E-003,0.000E+000,7.840E-001,0.000E+000,8.630E-001,0.000E+000,4.700E-009,9.700E-009,9.999E-009,1.000E-010,2.659E+000,3.800E-009,4.500E-009,
46,1,4.700E-003,6.000E-007,1.100E-006,1.000E-006,2.687E+000,2.814E+000,2.687E+000,1.175E+002,1.174E+002,1.000E-001,4.600E-009,0.000E+000,5.772E-003,0.000E+000,7.860E-001,0.000E+000,8.650E-001,0.000E+000,4.400E-009,6.800E-009,9.999E-009,2.000E-010,2.688E+000,4.000E-009,5.300E-009,
47,1,3.900E-003,6.000E-007,1.200E-006,9.000E-007,2.678E+000,2.806E+000,2.678E+000,1.170E+002,1.172E+002,2.000E-001,4.800E-009,0.000E+000,5.738E-003,0.000E+000,7.860E-001,0.000E+000,8.630E-001,0.000E+000,4.500E-009,8.200E-009,9.999E-009,0.000E+000,2.680E+000,3.900E-009,4.600E-009,
48,1,4.000E-003,1.000E-006,1.200E-006,9.000E-007,2.668E+000,2.795E+000,2.668E+000,1.173E+002,1.173E+002,0.000E+000,4.500E-009,0.000E+000,5.700E-003,0.000E+000,7.850E-001,0.000E+000,8.640E-001,0.000E+000,5.100E-009,7.700E-009,9.999E-009,3.000E-010,2.668E+000,4.000E-009,5.200E-009,
