SheetName,Structure,Origin,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Validation,XML File,Unnamed: 6,UVA,UVA.1,UVA.2,USR,Comments,File:,7G0FN07-92118-01_3_20190121_094231_1061C.stdf,Unnamed: 4,Unnamed: 5,Unnamed: 7,Unnamed: 8,20170927,PinId renamed to PinIndex,dataPOWER used,dataPOWER,FILE,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170114081437.stdf,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170125052513.stdf,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170128170445.stdf,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170206115713.stdf,AP0102_PC6S61_CP2_PC6S61-06G3_20170124154639.stdf,AP0202_P48P98_CP2_P48P98-20F6_20160310175436.stdf,P010A0TBAC-K1-SWF_PCBH24_PCBH24-01G6_20170121055708.stdf,ATH03_AP0202_CKF190004_619ON04E_20160518_12h49m04s_RS_1M.stdf.txt,1_AP0202_1_619ON04E_20160518_12h58m36s_FT_1.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_13h29m20s_FT_1A.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_14h11m29s_FT_1B.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_16h31m45s_RS_2A.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_16h49m41s_RS_3A.stdf.txt,AT10_AP0100A_MY5526709D_737ON40E_20171003_13h40m05s_FT_1A.stdf,STH01_AP0101A_CKG360022_736ON22E_20170922_22h40m55s_FT_1A.stdf,ATH03_AP0102_CKG350016_735ON11E_20170910_14h40m09s_RS_1M.stdf,ATH03_AP0202_CKG080039_708ON39E_20170402_03h12m01s_FT_1A.stdf,ATH10_AP0100A_MY5526709A_737ON37E_20171003_08h29m44s_RS_2A.stdf,STH01_AP0101A_CKG360022_736ON22E_20170922_13h49m55s_FT_1A.stdf,P010A0TBAC-K1-SWF_P4KA33_P4KA33-01F0_20160402053641.stdf,print TEST_TXTs PTR MPR FTR,awk -F': ' '/^PTR|^MPR|^FTR/ { PRINT=1; } /^$/ { PRINT=0; } /^   TEST_TXT:/ { if ( PRINT == 1 ) { print($0); } }',TestCount should be renamed to TestsExecuted
STDML Structure,<Unit ... >,"PIR, PRR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,"<Meas PmId=""1"" Val=""1.5"" PF=""0""></Meas>",PTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,"<Meas PnId=""1"" PmId=""2"" Val=""1.5"" PF=""0""></Meas>",MPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,"<Meas PmId=""3"" PF=""0""></Meas>",FTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,"<Meas PnId=""1"" PmId=""4"" PF=""0""></Meas>",FTR (Multi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,</Unit>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,</ParametricData>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,</Wafer>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,</Lot>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,</File>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,Record,Field Seq,Field,rules,,xml-section,xml-field,CC Probe,CC Probe,CC FT ASEM,Quartet Unit Probe,Double Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,File Name,,,Original filename of STDF before translation,CRITICAL,File,FileName,AP0100B_506555_PPP092_PPP092-22B4_20130503232832M.stdf,AP0202_P48P98_CP2_P48P98-20F6_20160310175436.stdf,ATH03_AP0202_CKF190004_619ON04E_20160518_14h11m29s_FT_1B.stdf,GAT42121.1_11FSC105SEF5_20170115181843.std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,FAR,1,CPU_TYPE,,,File,CPUType,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,FAR,2,STDF_VER,,,File,STDFVersion,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,,,,Sequence of ATR record 1 .. N,INDEX,Audit,Id,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,ATR,1,MOD_TIM,yyyy/mm/dd hh24:mi:ss,,Audit,ModificationTime,2013/05/03 23:28:32 [1367623712],2016/03/10 17:54:39 [1457632479],2016/05/18 14:12:42 [1463580762],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,ATR,2,CMD_LINE,,,Audit,CMDLine,8,"SmarTest s/w rev. 7.1.4.12 (E), 14-Jan-14; dataformatter 2.0.14 Jan 14 2014 11:49:38","SmarTest s/w rev. 7.1.4.3 (E), 15-Oct-12; dataformatter 2.0.9 Oct 15 2012 20:12:37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,1,SETUP_T,yyyy/mm/dd hh24:mi:ss,,Lot,SetupTime,2013/05/02 00:59:38,2016/03/08 08:02:11 [1457424131],2016/05/18 14:11:29 [1463580689],2017/01/16 00:58:10 [1484528290],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,2,START_T,yyyy/mm/dd hh24:mi:ss,,Lot,StartTime,2013/05/03 23:26:10,2016/03/10 17:54:39 [1457632479],2016/05/18 14:12:41 [1463580761],2017/01/16 00:58:10 [1484528290],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,3,STAT_NUM,Integer,,Lot,StationNumber,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,4,MODE_COD,Char,,Lot,ModeCode,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,5,RTST_COD,Char,,Lot,RetestCode,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,6,PROT_COD,,,Lot,ProtectionCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,7,BURN_TIM,,,Lot,BurnTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
