mA,A,0.001
nA,A,0.000000001
uA,A,0.000001
KHz,Cycles,1000
MHz,Cycles,1000000
ms,s,0.001
ns,s,0.000000001
us,s,0.000001
mV,V,0.001
uV,V,0.000001
mW,W,0.001
uW,W,0.000001
