2024-06-10 01:01:19 [INFO] ########### Start #########
2024-06-10 01:06:53 [INFO] ########### Start #########
2024-06-10 01:11:23 [INFO] ########### Start #########
2024-06-10 01:11:34 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:35 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:35 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:35 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:35 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:36 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:36 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:36 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:36 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:37 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:37 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:37 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:37 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:38 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:38 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:38 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:38 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:39 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:39 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:39 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:39 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:40 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:40 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:40 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:40 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:41 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:41 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:41 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:42 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:42 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:42 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:42 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:43 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:43 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:43 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:43 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:44 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:44 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:44 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:44 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:45 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:45 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:45 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:45 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:46 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:46 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:46 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:46 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:47 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:47 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:47 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:47 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:48 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:48 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:48 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:49 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:49 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:49 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:49 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
